rule_name,server,port
"R-739","S-96","402"
"R-736","S-282","79"
"R-739","S-175","95"
"R-736","S-426","193"
"R-736","S-244","409"
"R-736","S-696","343"
"R-739","S-74","218"
"R-735","S-354","115"
"R-736","S-508","274"
"R-736","S-610","360"
"R-739","S-276","227"
"R-735","S-243","355"
"R-735","S-300","387"
"R-736","S-904","453"
"R-739","S-904","439"
"R-736","S-153","215"
"R-735","S-986","353"
"R-736","S-160","449"
"R-735","S-472","60"
"R-739","S-465","313"
"R-736","S-320","296"
"R-736","S-848","253"
"R-739","S-848","26"
"R-735","S-942","163"
"R-736","S-235","121"
"R-739","S-636","373"
"R-739","S-975","285"
"R-736","S-381","291"
"R-736","S-903","281"
"R-736","S-99","275"
"R-736","S-821","23"
"R-736","S-821","200"
"R-739","S-657","348"
"R-736","S-974","130"
"R-736","S-717","394"
"R-735","S-345","436"
"R-736","S-796","175"
"R-735","S-983","50"
"R-739","S-826","251"
"R-739","S-146","312"
"R-739","S-236","358"
"R-739","S-61","115"
"R-736","S-218","169"
"R-735","S-651","449"
"R-736","S-571","307"
"R-735","S-563","265"
"R-739","S-498","212"
"R-735","S-275","253"
"R-735","S-190","363"
"R-735","S-621","97"
"R-735","S-217","158"
"R-739","S-31","159"
"R-736","S-795","347"
"R-735","S-575","180"
"R-736","S-575","380"
"R-736","S-666","392"
"R-739","S-291","288"
"R-739","S-4","58"
"R-739","S-809","361"
"R-735","S-581","205"
"R-739","S-938","289"
"R-736","S-743","282"
"R-739","S-743","254"
"R-735","S-500","253"
"R-735","S-913","139"
"R-736","S-18","127"
"R-736","S-4","363"
"R-736","S-315","101"
"R-739","S-47","221"
"R-736","S-158","298"
"R-736","S-896","298"
"R-739","S-450","432"
"R-739","S-450","212"
"R-736","S-341","349"
"R-736","S-814","29"
"R-739","S-633","315"
"R-735","S-449","173"
"R-735","S-11","441"
"R-736","S-899","125"
"R-735","S-193","378"
"R-735","S-892","334"
"R-736","S-65","57"
"R-739","S-471","142"
"R-739","S-871","164"
"R-735","S-162","126"
"R-739","S-105","364"
